diretor,ano,diretor_primeiro_nome,genero
Doug Liman,2014,Doug,male
Kevin Reynolds,1995,Kevin,male
Stephen Sommers,2009,Stephen,male
Pete Docter,2015,Pete,male
Jon Favreau,2010,Jon,male
Rupert Sanders,2012,Rupert,male
Robert Stromberg,2014,Robert,male
Matt Reeves,2014,Matt,male
Carl Rinsch,2013,Carl,male
Anthony Russo,2014,Anthony,male
Mike Mitchell,2010,Mike,male
Brad Bird,2015,Brad,male
Don Hall,2014,Don,male
Rich Moore,2012,Rich,male
Robert Zemeckis,2004,Robert,male
Roland Emmerich,2016,Roland,male
Dean DeBlois,2010,Dean,male
Jonathan Mostow,2003,Jonathan,male
James Gunn,2014,James,male
Christopher Nolan,2014,Christopher,male
Christopher Nolan,2010,Christopher,male
Peter Jackson,2012,Peter,male
Rob Cohen,2001,Rob,male
David Fincher,2008,David,male
Matthew Vaughn,2011,Matthew,male
Francis Lawrence,2015,Francis,male
Jon Turteltaub,2010,Jon,male
Wolfgang Petersen,2006,Wolfgang,male
James Bobin,2016,James,male
Chris Miller,2007,Chris,male
Duncan Jones,2016,Duncan,male
Alan Taylor,2015,Alan,male
Michael Apted,2010,Michael,male
Michael Bay,2001,Michael,male
Michael Bay,2007,Michael,male
Peter Berg,2008,Peter,male
Francis Lawrence,2007,Francis,male
Tim Burton,2005,Tim,male
Brad Bird,2007,Brad,male
Christopher Nolan,2005,Christopher,male
Eric Darnell,2008,Eric,male
Shawn Levy,2009,Shawn,male
Gavin Hood,2009,Gavin,male
Chris Buck,2013,Chris,male
Lana Wachowski,2003,Lana,female
Alan Taylor,2013,Alan,male
Ron Howard,2009,Ron,male
Kenneth Branagh,2011,Kenneth,male
Byron Howard,2008,Byron,male
Hoyt Yeatman,2009,Hoyt,male
Jonathan Liebesman,2012,Jonathan,male
Tim Burton,2012,Tim,male
Joe Johnston,2010,Joe,male
Steve Hickner,2007,Steve,male
Jennifer Yuh Nelson,2011,Jennifer Yuh,NA
M. Night Shyamalan,2010,M. Night,NA
J.J. Abrams,2006,J.J.,NA
Roland Emmerich,2013,Roland,male
Simon Wells,2011,Simon,male
Joe Wright,2015,Joe,male
Rob Minkoff,2014,Rob,male
Wolfgang Petersen,2004,Wolfgang,male
Eric Darnell,2012,Eric,male
Paul Feig,2016,Paul,male
Michael Bay,1998,Michael,male
Barry Sonnenfeld,2002,Barry,male
Robert Zemeckis,2007,Robert,male
Alessandro Carloni,2016,Alessandro,male
Brad Bird,2011,Brad,male
Peter Ramsey,2012,Peter,male
Dean Parisot,2005,Dean,male
Edward Zwick,2003,Edward,male
J.J. Abrams,2009,J.J.,NA
Sam Raimi,2002,Sam,male
Dean DeBlois,2014,Dean,male
Alex Proyas,2016,Alex,male
Rob Cohen,2005,Rob,male
Zack Snyder,2009,Zack,male
Richard Donner,1998,Richard,male
Ang Lee,2003,Ang,NA
Jon M. Chu,2013,Jon M.,NA
Hironobu Sakaguchi,2001,Hironobu,NA
Joe Johnston,2011,Joe,male
Peter Weir,2003,Peter,male
Bill Condon,2012,Bill,male
Louis Leterrier,2008,Louis,male
NA,NA,NA,NA
Alejandro G. Iñárritu,2015,Alejandro G.,NA
David Soren,2013,David,male
Gore Verbinski,2011,Gore,NA
Eric Darnell,2014,Eric,male
Paul Greengrass,2007,Paul,male
Mark Osborne,2008,Mark,male
Peyton Reed,2015,Peyton,male
Francis Lawrence,2013,Francis,male
Tim Johnson,2015,Tim,male
Steven Spielberg,2005,Steven,male
Michael Bay,2003,Michael,male
Chris Miller,2011,Chris,male
Phillip Noyce,2010,Phillip,male
Darren Aronofsky,2014,Darren,male
Steven Spielberg,2011,Steven,male
M. Night Shyamalan,2013,M. Night,NA
Eric Leighton,2000,Eric,male
Shawn Levy,2014,Shawn,male
Tom McGrath,2010,Tom,male
Robert Schwentke,2013,Robert,male
Gore Verbinski,2003,Gore,NA
Francis Lawrence,2014,Francis,male
Ron Howard,2006,Ron,male
Carlos Saldanha,2014,Carlos,male
Justin Lin,2011,Justin,male
Guy Ritchie,2011,Guy,male
Louis Leterrier,2010,Louis,male
Paul Verhoeven,1990,Paul,male
John McTiernan,1999,John,male
Tony Gilroy,2012,Tony,male
Joel Schumacher,1997,Joel,male
Ron Howard,2000,Ron,male
Roland Emmerich,2004,Roland,male
John Woo,2000,John,male
Wolfgang Petersen,2000,Wolfgang,male
Tim Story,2007,Tim,male
Ang Lee,2012,Ang,NA
Mark Steven Johnson,2007,Mark Steven,NA
McG,2003,NA,NA
Ridley Scott,2012,Ridley,male
Rob Minkoff,2002,Rob,male
Neill Blomkamp,2013,Neill,male
David Twohy,2004,David,male
José Padilha,2014,José,NA
Lana Wachowski,2008,Lana,female
James L. Brooks,2010,James L.,NA
James Mangold,2010,James,male
Joseph Kosinski,2013,Joseph,male
George Lucas,2005,George,male
George Lucas,2002,George,male
Pete Docter,2001,Pete,male
James Mangold,2013,James,male
George Lucas,1999,George,male
Kirk De Micco,2013,Kirk De,NA
John Woo,2002,John,male
Cedric Nicolas-Troyan,2016,Cedric,male
Jonathan Liebesman,2014,Jonathan,male
Roger Donaldson,1997,Roger,male
Dave Green,2016,Dave,male
Josh Trank,2015,Josh,male
Shawn Levy,2006,Shawn,male
Brad Peyton,2015,Brad,male
Roland Emmerich,2000,Roland,male
Steven Soderbergh,2004,Steven,male
Doug Liman,2005,Doug,male
Robert Schwentke,2015,Robert,male
Martin Scorsese,2004,Martin,male
Rob Letterman,2010,Rob,male
Michel Gondry,2011,Michel,male
Noam Murro,2014,Noam,male
Raja Gosnell,2011,Raja,male
Will Finn,2004,Will,male
Robert Schwentke,2016,Robert,male
Shawn Levy,2011,Shawn,male
Raja Gosnell,2013,Raja,male
Jan de Bont,1997,Jan de,NA
Gavin Hood,2013,Gavin,male
Len Wiseman,2007,Len,male
Frank Coraci,2004,Frank,male
Michael Mann,2001,Michael,male
Bo Welch,2003,Bo,male
Alex Proyas,2004,Alex,male
Ridley Scott,2005,Ridley,male
Ron Clements,2009,Ron,male
Ridley Scott,2015,Ridley,male
Michael Bay,2005,Michael,male
Dominic Sena,2000,Dominic,male
Ridley Scott,2000,Ridley,male
Steven Spielberg,2002,Steven,male
Tim Burton,2001,Tim,male
James Cameron,1991,James,male
Michael Mann,2009,Michael,male
Ridley Scott,2007,Ridley,male
James Cameron,1994,James,male
Tony Scott,2009,Tony,male
Paul Weitz,2010,Paul,male
Adam McKay,2010,Adam,male
Chuck Russell,1996,Chuck,male
Quentin Tarantino,2012,Quentin,male
Gary Trousdale,1996,Gary,male
Mark Dindal,2000,Mark,male
Simon West,2012,Simon,male
Jon Turteltaub,2004,Jon,male
Stefen Fangmeier,2006,Stefen,male
Chris Wedge,2013,Chris,male
Florian Henckel von Donnersmarck,2010,Florian Henckel von,NA
Peter Hyams,1999,Peter,male
Martin Scorsese,2013,Martin,male
Joel Schumacher,1995,Joel,male
Paul Verhoeven,1997,Paul,male
Zack Snyder,2010,Zack,male
Pitof,2004,NA,NA
Brett Ratner,2014,Brett,male
Ron Clements,2002,Ron,male
Brad Silberling,2009,Brad,male
Patrick Hughes,2014,Patrick,male
Ericson Core,2015,Ericson,male
Lawrence Guterman,2005,Lawrence,male
Ron Howard,2015,Ron,male
Ron Underwood,2002,Ron,male
Steve Martino,2015,Steve,male
David Mamet,1997,David,male
Stephen Sommers,2001,Stephen,male
Martin Scorsese,2002,Martin,male
Ash Brannon,2007,Ash,male
Frank Oz,2004,Frank,male
Ridley Scott,2001,Ridley,male
Jay Roach,2012,Jay,male
Michael Patrick King,2010,Michael Patrick,NA
Bibo Bergeron,2000,Bibo,NA
Steve Martino,2012,Steve,male
Kenneth Branagh,2015,Kenneth,male
Peter Jackson,2009,Peter,male
Andrew Stanton,2003,Andrew,male
Peter Jackson,2003,Peter,male
Peter Jackson,2002,Peter,male
Sergey Bodrov,2014,Sergey,NA
Simon West,2001,Simon,male
Joe Johnston,2001,Joe,male
Rupert Wyatt,2011,Rupert,male
Mark Waters,2008,Mark,male
John Moore,2013,John,male
John Lee Hancock,2004,John Lee,NA
Brad Bird,2004,Brad,male
Renny Harlin,1995,Renny,male
Barry Sonnenfeld,1997,Barry,male
John Lasseter,1999,John,male
Tony Scott,2010,Tony,male
Brett Ratner,2001,Brett,male
Robert Zemeckis,2000,Robert,male
Phil Lord,2009,Phil,male
Carlos Saldanha,2009,Carlos,male
Ben Stiller,2013,Ben,male
McG,2000,NA,NA
Martin Scorsese,2006,Martin,male
Tony Bancroft,1998,Tony,male
Ben Stiller,2008,Ben,male
David Fincher,2011,David,male
John McTiernan,1995,John,male
Guy Ritchie,2009,Guy,male
Timur Bekmambetov,2016,Timur,male
Gary Trousdale,2001,Gary,male
Walt Becker,2015,Walt,male
Bryan Singer,2008,Bryan,male
Dennis Dugan,2008,Dennis,male
Chris Columbus,2015,Chris,male
Steven Spielberg,2001,Steven,male
Rob Minkoff,2003,Rob,male
Robert Zemeckis,1997,Robert,male
Paul Verhoeven,2000,Paul,male
Thor Freudenthal,2013,Thor,male
Jan de Bont,2003,Jan de,NA
Jon M. Chu,2016,Jon M.,NA
Phillip Noyce,1997,Phillip,male
Brian De Palma,2000,Brian De,NA
Carlos Saldanha,2011,Carlos,male
Chris Columbus,1999,Chris,male
Mick Jackson,1997,Mick,male
Alan J. Pakula,1997,Alan J.,NA
John Milius,1982,John,male
Ron Howard,2005,Ron,male
Gary Ross,2003,Gary,male
Jan de Bont,1996,Jan de,NA
George Miller,2006,George,male
Paul Greengrass,2004,Paul,male
Wolfgang Petersen,1997,Wolfgang,male
Steven Soderbergh,2001,Steven,male
Genndy Tartakovsky,2012,Genndy,NA
Kevin Lima,2007,Kevin,male
Daniel Espinosa,2012,Daniel,male
Kevin Lima,2000,Kevin,male
Brett Ratner,2011,Brett,male
Nancy Meyers,2006,Nancy,female
Tony Scott,1998,Tony,male
Nancy Meyers,2009,Nancy,female
Steven Soderbergh,2007,Steven,male
Roger Allers,2006,Roger,male
Neil Burger,2014,Neil,male
Jean-Jacques Annaud,2001,Jean-Jacques,NA
Peter Berg,2003,Peter,male
John McTiernan,1993,John,male
Rob Marshall,2005,Rob,male
Justin Lin,2006,Justin,male
Martin Brest,1998,Martin,male
Andrew Davis,2002,Andrew,male
Bob Fosse,1979,Bob,male
Tarsem Singh,2012,Tarsem,NA
Edgar Wright,2010,Edgar,male
Jon Amiel,2003,Jon,male
Peter Segal,2000,Peter,male
Raja Gosnell,2002,Raja,male
Frank Coraci,2006,Frank,male
George A. Romero,1982,George A.,NA
Brad Peyton,2010,Brad,male
Doug Liman,2008,Doug,male
Guillermo del Toro,2008,Guillermo del,NA
David Fincher,2007,David,male
Roger Spottiswoode,2000,Roger,male
Tom Shadyac,2003,Tom,male
Sylvester Stallone,2010,Sylvester,male
Brian De Palma,1996,Brian De,NA
Gary Ross,2012,Gary,male
Todd Phillips,2011,Todd,male
Tim Burton,1992,Tim,male
Tim Johnson,2006,Tim,male
Dean DeBlois,2002,Dean,male
Gary Winick,2006,Gary,male
Mimi Leder,1998,Mimi,female
Dean Parisot,2013,Dean,male
Peter Segal,2005,Peter,male
Mike Mitchell,2011,Mike,male
Dennis Dugan,2013,Dennis,male
Peter Segal,2008,Peter,male
Nancy Meyers,2003,Nancy,female
Martin Scorsese,2010,Martin,male
Chris Wedge,2005,Chris,male
John Woo,1997,John,male
Adam Shankman,2008,Adam,male
Sam Mendes,2002,Sam,male
Dennis Dugan,2011,Dennis,male
Simon West,1997,Simon,male
D.J. Caruso,2008,D.J.,NA
Anthony Minghella,2003,Anthony,male
Albert Hughes,2010,Albert,male
Les Mayfield,1997,Les,male
Jan de Bont,1999,Jan de,NA
Joe Pytka,1996,Joe,male
Scott Derrickson,2008,Scott,male
Richard Donner,1997,Richard,male
David Ayer,2014,David,male
Ivan Reitman,1998,Ivan,male
Eric Brevig,2010,Eric,male
Kelly Asbury,2002,Kelly,female
Frank Coraci,2011,Frank,male
Stephen Hopkins,1998,Stephen,male
Jonathan Demme,2004,Jonathan,male
Henry Jaglom,1997,Henry,male
Genndy Tartakovsky,2015,Genndy,NA
James Algar,1999,James,male
Simon Wells,2002,Simon,male
Ron Underwood,1998,Ron,male
Dominic Sena,2001,Dominic,male
Martin Campbell,2005,Martin,male
Vincent Ward,1998,Vincent,male
Steven Brill,2000,Steven,male
Terry Gilliam,2005,Terry,male
Tim Burton,1996,Tim,male
Lee Tamahori,1997,Lee,male
Jonathan Mostow,2009,Jonathan,male
Roger Donaldson,2000,Roger,male
Rob Cohen,1996,Rob,male
Barry Cook,2013,Barry,male
Roger Christian,2000,Roger,male
Rob Marshall,2009,Rob,male
Richard Donner,2003,Richard,male
Kevin Costner,1997,Kevin,male
Breck Eisner,2015,Breck,male
Antony Hoffman,2000,Antony,male
Ron Howard,2001,Ron,male
Roger Allers,1994,Roger,male
Brad Peyton,2012,Brad,male
Cody Cameron,2013,Cody,male
Joe Johnston,2004,Joe,male
John Singleton,2003,John,male
Oliver Hirschbiegel,2007,Oliver,male
Des McAnuff,2000,Des,female
Stephen Norrington,2003,Stephen,male
Pierre Coffin,2013,Pierre,male
Roland Emmerich,1996,Roland,male
Steven Spielberg,1997,Steven,male
Eric Darnell,2005,Eric,male
Alfonso Cuarón,2006,Alfonso,male
Bryan Singer,2000,Bryan,male
Timur Bekmambetov,2008,Timur,male
Michael Bay,1996,Michael,male
Carlos Saldanha,2006,Carlos,male
Peter Segal,2004,Peter,male
Adam Shankman,2007,Adam,male
Renny Harlin,2004,Renny,male
David Kellogg,1999,David,male
Louis Leterrier,2013,Louis,male
Dennis Dugan,2010,Dennis,male
Steven Spielberg,2004,Steven,male
Thor Freudenthal,2009,Thor,male
Martin Campbell,2000,Martin,male
Mike Nichols,2007,Mike,male
Bibo Bergeron,2004,Bibo,NA
Bill Condon,2006,Bill,male
F. Gary Gray,2005,F. Gary,NA
Antoine Fuqua,2003,Antoine,male
Robert Luketic,2010,Robert,male
Guy Ritchie,2015,Guy,male
James L. Brooks,2004,James L.,NA
Gil Kenan,2006,Gil,male
Barry Levinson,2001,Barry,male
Jerry Zucker,1995,Jerry,male
Andy Tennant,1999,Andy,male
Tarsem Singh,2011,Tarsem,NA
Florent-Emilio Siri,2005,Florent-Emilio,NA
Don Bluth,2000,Don,male
Ron Shelton,2003,Ron,male
David Pastor,2009,David,male
Henry Selick,2001,Henry,male
John Moore,2004,John,male
M. Night Shyamalan,2000,M. Night,NA
Kyle Balda,2015,Kyle,male
Zack Snyder,2011,Zack,male
Brian De Palma,1998,Brian De,NA
Barry Levinson,1998,Barry,male
Clay Kaytis,2016,Clay,male
Andy Tennant,2008,Andy,male
Judd Apatow,2009,Judd,male
Peter Berg,2007,Peter,male
Adam McKay,2006,Adam,male
Steve Carr,2001,Steve,male
Mel Gibson,1995,Mel,male
David Silverman,2007,David,male
Frank Darabont,2001,Frank,male
Renny Harlin,2001,Renny,male
M. Night Shyamalan,2004,M. Night,NA
Betty Thomas,1998,Betty,female
M. Night Shyamalan,2002,M. Night,NA
Andrew Adamson,2004,Andrew,male
John Lasseter,2006,John,male
Garry Marshall,1999,Garry,male
Rob Cohen,2002,Rob,male
Paul Tibbitt,2015,Paul,male
Ron Howard,1996,Ron,male
Quentin Tarantino,2009,Quentin,male
Steven Spielberg,1991,Steven,male
Renny Harlin,1990,Renny,male
Clark Johnson,2003,Clark,male
Cameron Crowe,2001,Cameron,male
M. Night Shyamalan,2006,M. Night,NA
Paul W.S. Anderson,2004,Paul W.S.,NA
Betty Thomas,2009,Betty,female
Randall Wallace,2002,Randall,male
Antoine Fuqua,2013,Antoine,male
Jonathan Frakes,1998,Jonathan,male
Jonathan Liebesman,2011,Jonathan,male
Tim Burton,2003,Tim,male
Mike Nichols,1994,Mike,male
George Clooney,2014,George,male
James Cameron,1989,James,male
Oliver Stone,2010,Oliver,male
Gary Shore,2014,Gary,male
Edward Zwick,1998,Edward,male
Jean-Jacques Annaud,1997,Jean-Jacques,NA
Ron Howard,2011,Ron,male
Joel Schumacher,2002,Joel,male
Betty Thomas,2002,Betty,female
Måns Mårlind,2012,Måns,NA
Adam Shankman,2012,Adam,male
Gregory Hoblit,2002,Gregory,male
John McTiernan,2002,John,male
Wych Kaosayananda,2002,Wych,NA
Mikael Salomon,1998,Mikael,male
Bobby Farrelly,2001,Bobby,male
Will Finn,2013,Will,male
Michael Mann,2015,Michael,male
Kerry Conran,2004,Kerry,male
Mikael Håfström,2013,Mikael,male
Renny Harlin,2014,Renny,male
Phil Alden Robinson,2002,Phil Alden,NA
David Slade,2010,David,male
Frank Oz,2001,Frank,male
Pierre Coffin,2010,Pierre,male
Joseph Ruben,1995,Joseph,male
Seth MacFarlane,2015,Seth,male
Kinka Usher,1999,Kinka,NA
Bobby Farrelly,2011,Bobby,male
Michael Mann,1999,Michael,male
Craig Gillespie,2016,Craig,male
Ridley Scott,2008,Ridley,male
Jay Roach,2010,Jay,male
Timur Bekmambetov,2012,Timur,male
Jon Amiel,1999,Jon,male
Rob Bowman,1998,Rob,male
Steven Spielberg,1998,Steven,male
Scott Waugh,2014,Scott,male
Nancy Meyers,2000,Nancy,female
Chris Wedge,2002,Chris,male
Lawrence Kasdan,2003,Lawrence,male
Steven Spielberg,2012,Steven,male
Lana Wachowski,1999,Lana,female
Ron Howard,1995,Ron,male
Michael Lembeck,2002,Michael,male
Tom Hooper,2012,Tom,male
Nora Ephron,1998,Nora,female
Adam McKay,2008,Adam,male
Martin Campbell,1998,Martin,male
Todd Phillips,2010,Todd,male
Angelina Jolie Pitt,2014,Angelina Jolie,NA
Clint Eastwood,2000,Clint,male
Renny Harlin,1993,Renny,male
John Woo,1996,John,male
Jon Turteltaub,2000,Jon,male
Oliver Stone,2006,Oliver,male
Mike Newell,2003,Mike,male
Larry Charles,2012,Larry,male
Will Gluck,2014,Will,male
Glenn Ficarra,2015,Glenn,male
McG,2012,NA,NA
David S. Goyer,2004,David S.,NA
John Milius,1984,John,male
Paul W.S. Anderson,2008,Paul W.S.,NA
Renny Harlin,1996,Renny,male
Taylor Hackford,2000,Taylor,male
Jon Favreau,2005,Jon,male
David Fincher,1999,David,male
McG,2006,NA,NA
Michael Lehmann,1991,Michael,male
Frank Miller,2014,Frank,male
Sydney Pollack,1999,Sydney,female
Jay Roach,2002,Jay,male
Steven Spielberg,1993,Steven,male
Lawrence Kasdan,1994,Lawrence,male
Phillip Noyce,1994,Phillip,male
Keenen Ivory Wayans,2006,Keenen Ivory,NA
Rob Reiner,1995,Rob,male
Marco Schnabel,2008,Marco,male
Demian Lichtenstein,2001,Demian,male
Quentin Tarantino,2015,Quentin,male
Josh Gordon,2007,Josh,male
Tim Hill,2011,Tim,male
Zack Snyder,2006,Zack,male
Jay Roach,2004,Jay,male
David Frankel,2008,David,male
Frank Darabont,1999,Frank,male
Walt Becker,2007,Walt,male
Mark Dindal,2005,Mark,male
David Fincher,2014,David,male
Doug Liman,2002,Doug,male
Simon West,1999,Simon,male
Peter Weir,1998,Peter,male
Brenda Chapman,1998,Brenda,female
Steve Carr,2003,Steve,male
Baltasar Kormákur,2013,Baltasar,male
Lawrence Guterman,2001,Lawrence,male
F. Gary Gray,2003,F. Gary,NA
Marc Lawrence,2002,Marc,male
Eric Darnell,1998,Eric,male
Peter Billingsley,2009,Peter,male
Tony Scott,1990,Tony,male
Adam Shankman,2005,Adam,male
Wes Ball,2015,Wes,male
Ryan Murphy,2010,Ryan,male
Brett Ratner,2000,Brett,male
Robert Schwentke,2010,Robert,male
Oliver Stone,1999,Oliver,male
Robert Redford,1998,Robert,male
Michael Mann,2004,Michael,male
Chuck Russell,2002,Chuck,male
Jay Russell,2004,Jay,male
Christopher McQuarrie,2012,Christopher,male
Renny Harlin,1999,Renny,male
Kenny Ortega,2009,Kenny,male
Steven Soderbergh,2011,Steven,male
David McNally,2003,David,male
Henry Selick,2009,Henry,male
M. Night Shyamalan,2008,M. Night,NA
Tony Scott,2004,Tony,male
Brian Robbins,2006,Brian,male
Todd Phillips,2004,Todd,male
Brian Levant,1996,Brian,male
Guillermo del Toro,2004,Guillermo del,NA
Steven Zaillian,1998,Steven,male
Chris Butler,2012,Chris,male
Michael Caton-Jones,1997,Michael,male
John Woo,2003,John,male
Jon Avnet,1996,Jon,male
Kevin Donovan,2002,Kevin,male
Geoff Murphy,1995,Geoff,male
Kenneth Branagh,2014,Kenneth,male
David O. Russell,2015,David O.,NA
Jean-Pierre Jeunet,1997,Jean-Pierre,NA
Antoine Fuqua,2007,Antoine,male
Graham Annable,2014,Graham,male
Griffin Dunne,1998,Griffin,male
John Pasquin,2005,John,male
Rob Bowman,2002,Rob,male
Ruben Fleischer,2013,Ruben,male
Harold Ramis,2009,Harold,male
Clint Eastwood,2009,Clint,male
Kevin Macdonald,2009,Kevin,male
Tony Gilroy,2009,Tony,male
Donald Petrie,1999,Donald,male
Clark Johnson,2006,Clark,male
Stuart Baird,2002,Stuart,male
Joel Coen,2003,Joel,male
Robert Lorenz,2012,Robert,male
Harold Ramis,2002,Harold,male
Jon Avnet,2008,Jon,male
Harold Becker,1998,Harold,male
Robert Redford,2000,Robert,male
Cameron Crowe,2000,Cameron,male
Lee Tamahori,2005,Lee,male
Scott Stewart,2011,Scott,male
Patrick Gilmore,2003,Patrick,male
Tom Shadyac,2002,Tom,male
Rod Lurie,2001,Rod,male
Walter Hill,2000,Walter,male
Akiva Goldsman,2014,Akiva,male
Harald Zwart,2013,Harald,male
Brian Robbins,2008,Brian,male
Walter Salles,2005,Walter,male
Ron Howard,1999,Ron,male
Frank Miller,2008,Frank,male
Martin Campbell,2003,Martin,male
John Dahl,2005,John,male
Tim Miller,2016,Tim,male
Stephen Herek,1998,Stephen,male
Clint Eastwood,2014,Clint,male
Rob Letterman,2015,Rob,male
Mark Waters,2005,Mark,male
Brian Levant,2000,Brian,male
Peter MacDonald,1988,Peter,male
George Clooney,2008,George,male
Frank Coraci,2015,Frank,male
Marc Lawrence,2009,Marc,male
Shawn Levy,2013,Shawn,male
Anthony Hemingway,2012,Anthony,male
Taylor Hackford,1997,Taylor,male
Sean Anders,2012,Sean,male
Brett Ratner,2004,Brett,male
Mark Neveldine,2011,Mark,male
Kevin Bray,2004,Kevin,male
Robert Zemeckis,1994,Robert,male
Tim Hill,2007,Tim,male
Jay Roach,2000,Jay,male
Mike Gabriel,1995,Mike,male
Richard Donner,1978,Richard,male
Tom Shadyac,1996,Tom,male
Andy Tennant,2005,Andy,male
Sam Weisman,1997,Sam,male
Jesse Dylan,2003,Jesse,male
Paul Greengrass,2013,Paul,male
Shawn Levy,2010,Shawn,male
Brad Silberling,1995,Brad,male
Antoine Fuqua,2014,Antoine,male
Wayne Wang,2002,Wayne,male
Tony Scott,1995,Tony,male
Gabriele Muccino,2006,Gabriele,female
Robert Schwentke,2005,Robert,male
Barry Levinson,1994,Barry,male
Quentin Tarantino,2003,Quentin,male
Frank Oz,1999,Frank,male
Quentin Tarantino,2004,Quentin,male
Andrey Konchalovskiy,1989,Andrey,male
Robert Zemeckis,1992,Robert,male
Tom Dey,2000,Tom,male
Stuart Baird,1996,Stuart,male
Mark Waters,2011,Mark,male
Rob Minkoff,2008,Rob,male
Jimmy Hayward,2013,Jimmy,male
David Fincher,1992,David,male
Alan Parker,1996,Alan,male
Stephen Hopkins,1996,Stephen,male
Akiva Schaffer,2012,Akiva,male
William Friedkin,2003,William,male
Jon Turteltaub,1999,Jon,male
Bobby Farrelly,2003,Bobby,male
Kent Alterman,2008,Kent,male
Clint Eastwood,2008,Clint,male
Andrew Davis,1996,Andrew,male
Tony Scott,1996,Tony,male
Karyn Kusama,2005,Karyn,female
Ron Maxwell,2003,Ron,male
Robert Butler,1997,Robert,male
Karey Kirkpatrick,2009,Karey,female
James Bobin,2014,James,male
Steve Antin,2010,Steve,male
Jim Gillespie,2002,Jim,male
Guillermo del Toro,2002,Guillermo del,NA
Gabriele Muccino,2008,Gabriele,female
Walter Hill,2012,Walter,male
Francis Ford Coppola,1990,Francis Ford,NA
Cameron Crowe,2005,Cameron,male
Anthony Russo,2006,Anthony,male
Richard Lester,1980,Richard,male
Martin Brest,2003,Martin,male
Don Bluth,1997,Don,male
Baz Luhrmann,2001,Baz,NA
Harold Becker,2001,Harold,male
Scott Cooper,2015,Scott,male
Clint Eastwood,2006,Clint,male
F. Gary Gray,2009,F. Gary,NA
Robert Rodriguez,2007,Robert,male
Jonathan Demme,1998,Jonathan,male
Curtis Hanson,2007,Curtis,male
Kathryn Bigelow,2012,Kathryn,female
Peyton Reed,2006,Peyton,male
Phyllida Lloyd,2008,Phyllida,NA
Garry Marshall,2010,Garry,male
Jay Chandrasekhar,2005,Jay,male
Terrence Malick,1998,Terrence,male
David Dobkin,2011,David,male
Martin Scorsese,1995,Martin,male
Paul Hunter,2003,Paul,male
Bobby Farrelly,2000,Bobby,male
John Whitesell,2006,John,male
Chris Weitz,2009,Chris,male
Andrew Adamson,2001,Andrew,male
George Nolfi,2011,George,male
Kevin Reynolds,1991,Kevin,male
Cameron Crowe,1996,Cameron,male
Seth MacFarlane,2012,Seth,male
James L. Brooks,1997,James L.,NA
Tom Shadyac,1998,Tom,male
Adam McKay,2013,Adam,male
Steven Brill,2002,Steven,male
J.J. Abrams,2011,J.J.,NA
Steven Soderbergh,2000,Steven,male
Donald Petrie,2003,Donald,male
Phil Lord,2014,Phil,male
Neil Jordan,1994,Neil,male
Peyton Reed,2008,Peyton,male
Rawson Marshall Thurber,2016,Rawson Marshall,NA
